Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
2110.97,1,,66.72,36.65,1,0,,71.87,39.1,1,0
2111.06,1,,66.72,36.65,1,0,,72.36,39.12,1,0
2111.21,1,,67.63,36.34,1,0,,71.76,39.27,1,0
2111.3,1,,67.73,36.31,1,0,,71.29,39.22,1,0
2111.39,1,,68.2,36.31,1,0,,71.64,39.22,1,0
2111.45,1,,68.2,36.31,1,0,,71.79,39.18,1,0
2111.56,1,,67.74,36.49,1,0,,71.75,38.78,1,0
2111.66,1,,67.74,36.49,1,0,,72.59,39.32,1,0
2111.77,1,,67.7,36.49,1,0,,71.04,39.27,1,0
2111.84,1,,67.7,36.49,1,0,,72.1,39.12,1,0
2111.96,1,,68.03,36.46,1,0,,72.61,39.44,1,0
2112.05,1,,68.27,36.54,1,0,,71.62,38.94,1,0
2112.14,1,,68.27,36.54,1,0,,71.33,38.97,1,0
2112.29,1,,68.23,36.64,1,0,,71.34,38.98,1,0
2112.36,1,,68.54,36.45,1,0,,71.44,38.96,1,0
2112.44,1,,68.54,36.45,1,0,,71.36,38.86,1,0
2112.66,1,,68.05,36.4,1,0,,72.2,38.82,1,0
2112.66,1,,68.05,36.4,1,0,,72.2,38.82,1,0
2112.79,1,,68.12,36.66,1,0,,71.41,38.79,1,0
2112.83,1,,68.12,36.66,1,0,,72.98,38.44,1,0
2113.04,1,,65.78,35.96,1,0,,72.45,38.83,1,0
2113.04,1,,65.78,35.96,1,0,,71.41,38.9,1,0
2113.13,1,,68.19,36.53,1,0,,71.41,38.77,1,0
2113.34,1,,68.19,36.53,1,0,,70,39.33,1,0
2113.35,1,,68.19,36.53,1,0,,71.33,39.05,1,0
2114.18,1,,68.18,36.81,1,0,,71.4,39.18,1,0
2114.19,1,,68.18,36.81,1,0,,70.2,38.89,1,0
2114.19,1,,68.18,36.81,1,0,,70.2,38.89,1,0
2114.19,1,,68.18,36.81,1,0,,70.2,38.89,1,0
